"Specie","Freq"
"Chromolaena ivaefolia",1
"Chromolaena ivifolia",4
"Chromolaena kleinii",2
"Chromolaena laevigata",87
"Chromolaena latisquamulosa",3
"Chromolaena maximilianii",1
"Chromolaena odorata",18
"Chromolaena oinopolepis",1
"Chromolaena palmaris",3
"Chromolaena pedunculosa",45
"Chromolaena rhinanthacea",1
"Chromolaena squarrulosa",5
"Chromolaena ulei",11
"Chromolaena verbenacea",11
"Chromolaena xylorhiza",1
"Chryso-hypnum diminutivum",6
"Chryso-hypnum elegantulum",2
"Chrysolaena cognata",3
"Chrysolaena flexuosa",18
"Chrysolaena lithospermifolia",2
"Chrysolaena obovata",1
"Chrysolaena oligophylla",7
"Chrysolaena platensis",22
"Chrysolaena simplex",2
"Chrysolaena verbascifolia",2
"Chrysophyllum gonocarpum",33
"Chrysophyllum inornatum",83
"Chrysophyllum marginatum",48
"Chrysophyllum viride",35
"Chusquea bambusoides",15
"Chusquea capitata",3
"Chusquea capituliflora",10
"Chusquea gracilis",4
"Chusquea hatschbachii",1
